name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Sherwin,Biased,--,--,752:ID:SNTL,46.95028,-116.33972,3190.00,Latah,170103040703
Short Creek,Biased,--,--,753:MT:SNTL,44.97572,-111.95215,6980.00,Madison,100200030106
Shower Falls,Biased,--,--,754:MT:SNTL,45.40125,-110.95758,8060.00,Gallatin,100200081001
Silvies,Biased,--,--,759:OR:SNTL,42.75333,-118.68785,7000.00,Harney,171200030201
Skookum Creek,Biased,--,--,912:WA:SNTL,47.68433,-121.61007,3310.00,King,171100100503
Slug Creek Divide,Biased,--,--,761:ID:SNTL,42.56248,-111.29797,7240.00,Caribou,170402070201
Smith  Morehouse,Biased,--,--,763:UT:SNTL,40.78931,-111.09192,7640.00,Summit,160201010203
Smith Ridge,Biased,--,--,1167:OR:SNTL,44.30325,-122.04053,3270.00,Linn,170900040203
Snider Basin,Biased,--,--,765:WY:SNTL,42.49490,-110.53203,8080.00,Sublette,140401010906
Snow Mountain,Biased,--,--,767:OR:SNTL,43.94885,-119.54013,6230.00,Harney,171200020501
Snowbird,Biased,--,--,766:UT:SNTL,40.56914,-111.65852,9170.00,Salt Lake,160202040202
Soldier Park,Biased,--,--,1132:WY:SNTL,44.34847,-107.01360,8680.00,Johnson,100902060103
Somsen Ranch,Biased,--,--,770:ID:SNTL,42.95275,-111.35933,6830.00,Caribou,170402070101
Sourdough Gulch,Biased,--,--,985:WA:SNTL,46.23713,-117.39435,3970.00,Asotin,170601030202
Spirit Lake,Biased,--,--,777:WA:SNTL,46.26113,-122.17720,3520.00,Skamania,170800050502
Spur Park,Biased,--,--,781:MT:SNTL,46.77962,-110.62165,8080.00,Judith Basin,100401030301
St. Lawrence Alt,Biased,--,--,786:WY:SNTL,43.03312,-109.17021,8610.00,Fremont,100800020105
Stag Mountain,Biased,--,--,1203:NV:SNTL,41.40800,-115.44640,7640.00,Elko,170501020101
Stahl Peak,Biased,--,--,787:MT:SNTL,48.90902,-114.86298,6040.00,Lincoln,170101010801
Starr Ridge,Biased,--,--,789:OR:SNTL,44.26423,-119.02162,5240.00,Grant,171200020102
State Line,Biased,--,--,1258:CA:SNTL,41.98609,-120.71574,5690.00,Modoc,180102040201
State Line AM,Biased,--,--,993:CA:SNTLT,41.98690,-120.71510,5690.00,Modoc,180102040201
Strawberry,Biased,--,--,794:OR:SNTL,42.12587,-120.83610,5760.00,Lake,180102040501
Summer Rim,Biased,--,--,800:OR:SNTL,42.69570,-120.80158,7080.00,Lake,180102020103
Summit Lake,Biased,--,--,801:OR:SNTL,43.44907,-122.13808,5610.00,Klamath,170703020203
Sun Pass,Biased,--,--,1078:OR:SNTL,42.78637,-121.97715,5400.00,Klamath,180102010602
Sunset,Biased,--,--,803:ID:SNTL,47.55545,-115.82422,5580.00,Shoshone,170103020102
Surprise Lakes,Biased,--,--,804:WA:SNTL,46.09497,-121.76345,4280.00,Skamania,170800020107
Swan Lake Mtn,Biased,--,--,1077:OR:SNTL,42.41323,-121.68002,6840.00,Klamath,180102040802
Swede Peak,Biased,--,--,805:ID:SNTL,43.62600,-113.96887,7640.00,Blaine,170402210301
Swift Creek,Biased,--,--,1012:WA:SNTL,46.16380,-122.18402,4440.00,Skamania,170800020304
Taylor Butte,Biased,--,--,810:OR:SNTL,42.69108,-121.42592,5030.00,Klamath,180102020606
Tent Mtn Lower,Biased,--,--,1202:NV:SNTL,40.97852,-115.17215,7110.00,Elko,160401010704
Three Creeks Meadow,Biased,--,--,815:OR:SNTL,44.14425,-121.64095,5680.00,Deschutes,170703010601
Thunder Basin,Biased,--,--,817:WA:SNTL,48.52753,-120.98950,4310.00,Skagit,171100050702
Tie Creek,Biased,--,--,818:WY:SNTL,44.81243,-107.41017,7050.00,Sheridan,100901010205
Timber Creek,Biased,--,--,819:WY:SNTL,44.02740,-109.17879,7910.00,Park,100800090210
Tinkham Creek,Biased,--,--,899:WA:SNTL,47.33198,-121.46975,3000.00,King,171100120101
Tipton,Biased,--,--,821:OR:SNTL,44.65567,-118.42617,5150.00,Baker,170502020101
Toe Jam,Biased,--,--,1136:NV:SNTL,41.31870,-116.34080,7700.00,Elko,160401060202
Tony Grove Lake,Biased,--,--,823:UT:SNTL,41.89833,-111.62957,8450.00,Cache,160102030304
Townsend Creek,Biased,--,--,826:WY:SNTL,42.69525,-108.89572,8720.00,Fremont,100800030203
Trinity,Biased,--,--,1171:WA:SNTL,48.07471,-120.84989,2900.00,Chelan,170200110302
Triple Peak,Biased,--,--,831:WY:SNTL,42.76393,-110.59140,8520.00,Sublette,140401010503
Trough,Biased,--,--,832:WA:SNTL,47.23328,-120.29412,5480.00,Kittitas,170200100402
Trout Creek,Biased,--,--,833:UT:SNTL,40.73900,-109.67280,9440.00,Uintah,140600100802
Trout Creek AM,Biased,--,--,1238:OR:SNTLT,42.03597,-118.24008,7890.00,Harney,171200090201
TV Ridge AM,Biased,--,--,1230:OR:SNTLT,45.39610,-117.38920,7110.00,Wallowa,170601050203
Unalakleet,Biased,--,--,2221:AK:SCAN,63.91333,-160.74973,290.00,Nome,190501021408
Upper Joes Valley,Biased,--,--,1227:UT:SNTL,39.41550,-111.24910,8600.00,Emery,140600090201
Upper Wheeler,Biased,--,--,841:WA:SNTL,47.28734,-120.37015,4330.00,Chelan,170200100310
V Lake AM,Biased,--,--,1237:OR:SNTLT,42.46573,-118.76583,6640.00,Harney,171200080901
Vienna Mine,Biased,--,--,845:ID:SNTL,43.79942,-114.85273,8930.00,Blaine,170602010201
Waldron,Biased,--,--,847:MT:SNTL,47.91998,-112.79087,5640.00,Teton,100302050102
Ward Creek #3,Biased,--,--,848:CA:SNTL,39.13545,-120.21865,6750.00,Placer,160501010403
Warm Springs,Biased,--,--,850:MT:SNTL,46.27368,-113.16400,7840.00,Granite,170102010302
Waterhole,Biased,--,--,974:WA:SNTL,47.94485,-123.42594,5010.00,Clallam,171100200506
Weary Lake,Biased,--,--,1234:AK:SCAN,59.13423,-159.09282,180.00,Dillingham,190303060102
Webster Flat,Biased,--,--,853:UT:SNTL,37.57500,-112.90155,9150.00,Iron,150100080101
West Eagle Meadows AM,Biased,--,--,1288:OR:SNTLT,45.08467,-117.48167,5440.00,Union,170502031002
Whiskey Creek,Biased,--,--,858:MT:SNTL,44.61088,-111.14998,6790.00,Gallatin,100200070203
White Elephant,Biased,--,--,860:ID:SNTL,44.53267,-111.41085,7670.00,Fremont,170402020305
White Mill,Biased,--,--,862:MT:SNTL,45.04575,-109.90987,8730.00,Park,100700060202
White River #1,Biased,--,--,864:UT:SNTL,39.96450,-110.98845,8620.00,Wasatch,140600070102
Wilbur Bench,Biased,--,--,543:UT:SNTL,39.89166,-110.74604,9170.00,Duchesne,140600040701
Wildhorse Divide,Biased,--,--,867:ID:SNTL,42.75743,-112.47783,6480.00,Bannock,170402080504
Willow Creek,Biased,--,--,868:WY:SNTL,42.81513,-110.83515,8060.00,Lincoln,170401050204
Wolverine,Biased,--,--,875:WY:SNTL,44.80417,-109.65700,7650.00,Park,100700060104
Yankee Reservoir,Biased,--,--,1197:UT:SNTL,37.74797,-112.77495,8690.00,Iron,160300060202
Younts Peak,Biased,--,--,878:WY:SNTL,43.93225,-109.81775,8340.00,Park,100800130103
Albro Lake,Complete,1996-09-01 00:00,2100-01-01 00:00,916:MT:SNTL,45.59723,-111.95902,8500.00,Madison,100200050701
Alexander Lake,Complete,2014-08-28 00:00,2100-01-01 00:00,1267:AK:SNTL,61.74930,-150.89199,170.00,Matanuska-Susitna,190205051106
American Creek,Complete,2011-08-04 00:00,2100-01-01 00:00,1189:AK:SNTL,64.78969,-141.23376,1020.00,Southeast Fairbanks,190705050504
